pruid,prename,prfname,week_end,product_name,numtotal_atleast1dose,numtotal_1dose,numtotal_2doses,prop_atleast1dose,prop_1dose,prop_2doses,,numweekdelta_atleast1dose,numweekdelta_2doses,propweekdelta_1dose,propweekdelta_2doses
1,Canada,Canada,19-12-2020,Pfizer-BioNTech,8734,8734,0,0.068445406,0.068445406,0,,,,,
1,Canada,Canada,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
1,Canada,Canada,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,19-12-2020,Pfizer-BioNTech,972,972,0,0.186170162,0.186170162,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,19-12-2020,Pfizer-BioNTech,1092,1092,0,0.111502413,0.111502413,0,,,,,
12,Nova Scotia,Nova Scotia,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
24,Quebec,Quebec,19-12-2020,Pfizer-BioNTech,4728,4728,,0.055139785,0.055139785,,,,,,
24,Quebec,Quebec,19-12-2020,Moderna,0,0,,0,0,,,,,,
24,Quebec,Quebec,19-12-2020,Not reported,0,0,,0,0,,,,,,
46,Manitoba,Manitoba,19-12-2020,Pfizer-BioNTech,894,894,0,0.064817225,0.064817225,0,,,,,
46,Manitoba,Manitoba,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
46,Manitoba,Manitoba,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,19-12-2020,Pfizer-BioNTech,1048,1048,0,0.088912946,0.088912946,0,,,,,
47,Saskatchewan,Saskatchewan,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,19-12-2020,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,19-12-2020,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,19-12-2020,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
1,Canada,Canada,26-12-2020,Pfizer-BioNTech,33734,33734,0,0.186133902,0.186133902,0,,,,,
1,Canada,Canada,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
1,Canada,Canada,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,26-12-2020,Pfizer-BioNTech,1785,1785,0,0.341886563,0.341886563,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,26-12-2020,Pfizer-BioNTech,1152,1152,0,0.721691464,0.721691464,0,,,,,
11,Prince Edward Island,Prince Edward Island,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,26-12-2020,Pfizer-BioNTech,2218,2218,0,0.226476514,0.226476514,0,,,,,
12,Nova Scotia,Nova Scotia,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
13,New Brunswick,New Brunswick,26-12-2020,Pfizer-BioNTech,2606,2606,0,0.333471533,0.333471533,0,,,,,
13,New Brunswick,New Brunswick,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
13,New Brunswick,New Brunswick,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
24,Quebec,Quebec,26-12-2020,Pfizer-BioNTech,17221,17221,,0.200838036,0.200838036,,,,,,
24,Quebec,Quebec,26-12-2020,Moderna,0,0,,0,0,,,,,,
24,Quebec,Quebec,26-12-2020,Not reported,0,0,,0,0,,,,,,
46,Manitoba,Manitoba,26-12-2020,Pfizer-BioNTech,2177,2177,0,0.157837918,0.157837918,0,,,,,
46,Manitoba,Manitoba,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
46,Manitoba,Manitoba,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,26-12-2020,Pfizer-BioNTech,1783,1783,0,0.151270785,0.151270785,0,,,,,
47,Saskatchewan,Saskatchewan,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
48,Alberta,Alberta,26-12-2020,Pfizer-BioNTech,4792,4792,0,0.108370294,0.108370294,0,,,,,
48,Alberta,Alberta,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
48,Alberta,Alberta,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,26-12-2020,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,26-12-2020,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,26-12-2020,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,26-12-2020,Moderna,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,26-12-2020,Not reported,0,0,0,0,0,0,,,,,
1,Canada,Canada,02-01-2021,Pfizer-BioNTech,63100,63100,0,0.271150327,0.271150327,0,,,,,
1,Canada,Canada,02-01-2021,Moderna,1038,1038,0,0.004460444,0.004460444,0,,,,,
1,Canada,Canada,02-01-2021,Not reported,13383,13383,0,0.057508793,0.057508793,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,02-01-2021,Pfizer-BioNTech,1785,1785,0,0.341886563,0.341886563,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,02-01-2021,Moderna,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,02-01-2021,Pfizer-BioNTech,1674,1674,0,1.048707909,1.048707909,0,,,,,
11,Prince Edward Island,Prince Edward Island,02-01-2021,Moderna,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,02-01-2021,Pfizer-BioNTech,2720,2720,0,2.78E-01,0.277734949,0,,,,,
12,Nova Scotia,Nova Scotia,02-01-2021,Moderna,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
13,New Brunswick,New Brunswick,02-01-2021,Pfizer-BioNTech,2886,2886,0,0.369301169,0.369301169,0,,,,,
13,New Brunswick,New Brunswick,02-01-2021,Moderna,0,0,0,0,0,0,,,,,
13,New Brunswick,New Brunswick,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
24,Quebec,Quebec,02-01-2021,Pfizer-BioNTech,28312,28312,,3.30E-01,0.330185615,,,,,,
24,Quebec,Quebec,02-01-2021,Moderna,0,0,,0,0,,,,,,
24,Quebec,Quebec,02-01-2021,Not reported,0,0,,0,0,,,,,,
46,Manitoba,Manitoba,02-01-2021,Pfizer-BioNTech,3432,3432,0,0.248828541,0.248828541,0,,,,,
46,Manitoba,Manitoba,02-01-2021,Moderna,0,0,0,0,0,0,,,,,
46,Manitoba,Manitoba,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,02-01-2021,Pfizer-BioNTech,3545,3545,0,0.300759917,0.300759917,0,,,,,
47,Saskatchewan,Saskatchewan,02-01-2021,Moderna,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
48,Alberta,Alberta,02-01-2021,Not reported,13383,13383,0,0.302654349,0.302654349,0,,,,,
59,British Columbia,British Columbia,02-01-2021,Pfizer-BioNTech,18746,18746,0,0.364161787,0.364161787,0,,,,,
59,British Columbia,British Columbia,02-01-2021,Moderna,908,908,0,0.017638904,0.017638904,0,,,,,
59,British Columbia,British Columbia,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,02-01-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,02-01-2021,Moderna,130,130,0,0.287858993,0.287858993,0,,,,,
61,Northwest Territories,Northwest Territories,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,02-01-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,02-01-2021,Moderna,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,02-01-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,02-01-2021,Moderna,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,02-01-2021,Not reported,0,0,0,0,0,0,,,,,
1,Canada,Canada,09-01-2021,Pfizer-BioNTech,160243,155757,4487,0.421652405,0.40983035,0.011822055,,,,,
1,Canada,Canada,09-01-2021,Moderna,45002,45009,0,0.118428412,0.118428412,0,,,,,
1,Canada,Canada,09-01-2021,Not reported,6275,34,0,na,na,na,,,,,
1,Canada,Canada,09-01-2021,Unknown,6241,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,09-01-2021,Pfizer-BioNTech,2847,1994,853,0.545294702,0.381916978,0.163377724,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,09-01-2021,Moderna,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,09-01-2021,Not reported,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,09-01-2021,Pfizer-BioNTech,2441,>2436,<5,1.53046202,>1.53,<0.1,,,,,
11,Prince Edward Island,Prince Edward Island,09-01-2021,Moderna,46,46,0,0.029444009,0.029444009,0,,,,,
11,Prince Edward Island,Prince Edward Island,09-01-2021,Not reported,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,09-01-2021,Pfizer-BioNTech,2755,1679,1076,0.281308744,0.171440066,0.109868678,,,,,
12,Nova Scotia,Nova Scotia,09-01-2021,Moderna,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,09-01-2021,Not reported,0,0,0,0,0,0,,,,,
13,New Brunswick,New Brunswick,09-01-2021,Not reported,6241,Not reported,Not reported,0.798616976,Not reported,Not reported,,,,,
24,Quebec,Quebec,09-01-2021,Pfizer-BioNTech,62416,62416,,0.727943124,0.727943124,,,,,,
24,Quebec,Quebec,09-01-2021,Moderna,20844,20844,,0.243137528,0.243137528,,,,,,
24,Quebec,Quebec,09-01-2021,Not reported,0,0,,0,0,,,,,,
24,Quebec,Quebec,09-01-2021,Unknown,34,34,,0.000396521,0.000396521,,,,,,
46,Manitoba,Manitoba,09-01-2021,Pfizer-BioNTech,8593,7713,881,0.623013885,0.559211695,0.06380219,,,,,
46,Manitoba,Manitoba,09-01-2021,Moderna,101,101,0,0.007322751,0.007322751,0,,,,,
46,Manitoba,Manitoba,09-01-2021,Not reported,0,0,0,na,na,na,,,,,
47,Saskatchewan,Saskatchewan,09-01-2021,Pfizer-BioNTech,4980,4024,953,0.422760696,0.341398563,0.081362133,,,,,
47,Saskatchewan,Saskatchewan,09-01-2021,Moderna,544,544,0,0.046238125,0.046238125,0,,,,,
47,Saskatchewan,Saskatchewan,09-01-2021,Not reported,0,0,0,na,na,na,,,,,
48,Alberta,Alberta,09-01-2021,Pfizer-BioNTech,31552,30828,724,0.713543302,0.69717016,0.016373141,,,,,
48,Alberta,Alberta,09-01-2021,Moderna,12746,12746,0,0.288248698,0.288248698,0,,,,,
48,Alberta,Alberta,09-01-2021,Not reported,0,0,0,na,na,na,,,,,
59,British Columbia,British Columbia,09-01-2021,Pfizer-BioNTech,44659,44659,0,0.867550477,0.867550477,0,,,,,
59,British Columbia,British Columbia,09-01-2021,Moderna,9695,9695,0,0.1883361,0.1883361,0,,,,,
59,British Columbia,British Columbia,09-01-2021,Not reported,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,09-01-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,09-01-2021,Moderna,512,512,0,1.133721574,1.133721574,0,,,,,
61,Northwest Territories,Northwest Territories,09-01-2021,Not reported,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,09-01-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,09-01-2021,Moderna,495,495,0,1.177114049,1.177114049,0,,,,,
60,Yukon,Yukon,09-01-2021,Not reported,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,09-01-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,09-01-2021,Moderna,29,29,0,0.073691968,0.073691968,0,,,,,
62,Nunavut,Nunavut,09-01-2021,Not reported,0,0,0,0,0,0,,,,,
1,Canada,Canada,16-01-2021,Pfizer-BioNTech,288112,274774,13338,0.758084978,0.722989815,0.035095162,,,,,
1,Canada,Canada,16-01-2021,Moderna,75453,75453,0,0.19853316,0.19853316,0,,,,,
1,Canada,Canada,16-01-2021,Not reported,197158,183736,13422,0.518765334,0.48344915,0.035316185,,,,,
1,Canada,Canada,16-01-2021,Unknown,73,73,0,0.000192079,0.000192079,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,16-01-2021,Pfizer-BioNTech,4208,2474,1734,0.805971236,0.47385286,0.332118375,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,16-01-2021,Moderna,42,42,0,0.00804439,0.00804439,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,16-01-2021,Pfizer-BioNTech,3180,1785,1395,1.992169146,1.118245889,0.873923258,,,,,
11,Prince Edward Island,Prince Edward Island,16-01-2021,Moderna,1122,1122,0,0.702897416,0.702897416,0,,,,,
11,Prince Edward Island,Prince Edward Island,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,16-01-2021,Pfizer-BioNTech,5290,3083,2207,0.540153632,0.314800312,0.225353321,,,,,
12,Nova Scotia,Nova Scotia,16-01-2021,Moderna,450,450,0,0.045948797,0.045948797,0,,,,,
12,Nova Scotia,Nova Scotia,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
13,New Brunswick,New Brunswick,16-01-2021,Not reported,7918,5353,2565,1.013210898,0.684985847,0.328225051,,,,,
24,Quebec,Quebec,16-01-2021,Pfizer-BioNTech,114478,114478,,1.335087201,1.335087201,,,,,,
24,Quebec,Quebec,16-01-2021,Moderna,31235,31235,,0.364274784,0.364274784,,,,,,
24,Quebec,Quebec,16-01-2021,Unknown,73,73,,0.000851355,0.000851355,,,,,,
35,Ontario,Ontario,16-01-2021,Not reported,189240,178383,10857,1.284375052,1.210688411,0.073686641,,,,,
46,Manitoba,Manitoba,16-01-2021,Pfizer-BioNTech,15182,13038,2144,1.100732783,0.945287447,0.155445336,,,,,
46,Manitoba,Manitoba,16-01-2021,Moderna,1317,1317,0,0.095485778,0.095485778,0,,,,,
46,Manitoba,Manitoba,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,16-01-2021,Pfizer-BioNTech,10758,9020,1738,0.912715145,0.765262187,0.147452958,,,,,
47,Saskatchewan,Saskatchewan,16-01-2021,Moderna,3552,3552,0,0.301353801,0.301353801,0,,,,,
47,Saskatchewan,Saskatchewan,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
48,Alberta,Alberta,16-01-2021,Pfizer-BioNTech,64805,60730,4075,1.465554439,1.373398983,0.092155456,,,,,
48,Alberta,Alberta,16-01-2021,Moderna,17054,17054,0,0.385673411,0.385673411,0,,,,,
48,Alberta,Alberta,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
59,British Columbia,British Columbia,16-01-2021,Pfizer-BioNTech,70211,70166,45,1.363926342,1.363052168,0.000874175,,,,,
59,British Columbia,British Columbia,16-01-2021,Moderna,15336,15336,0,0.297918765,0.297918765,0,,,,,
59,British Columbia,British Columbia,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,16-01-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,16-01-2021,Moderna,1893,1893,0,4.191669804,4.191669804,0,,,,,
61,Northwest Territories,Northwest Territories,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,16-01-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,16-01-2021,Moderna,1311,1311,0,3.117568724,3.117568724,0,,,,,
60,Yukon,Yukon,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,16-01-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,16-01-2021,Moderna,2141,2141,0,5.440500089,5.440500089,0,,,,,
62,Nunavut,Nunavut,16-01-2021,Not reported,0,0,0,0,0,0,,,,,
1,Canada,Canada,23-01-2021,Pfizer-BioNTech,368761,344569,24192,0.970289937,0.906635554,0.063654384,,,,,
1,Canada,Canada,23-01-2021,Moderna,142623,141888,735,0.375271956,0.373338012,0.001933944,,,,,
1,Canada,Canada,23-01-2021,Unknown,22,22,0,0.00E+00,0.00E+00,0,,,,,
1,Canada,Canada,23-01-2021,Not reported,260648,226366,34282,0.685821254,0.595617899,0.090203356,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,23-01-2021,Pfizer-BioNTech,5783,4046,1737,1.11E+00,0.774942875,0.332692974,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,23-01-2021,Moderna,1665,1665,0,3.19E-01,0.318902592,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,23-01-2021,Not reported,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,23-01-2021,Pfizer-BioNTech,3828,1940,1888,2.398120595,1.215348473,1.182772122,,,,,
